[EMAIL] Using SMTP backend - smtp.gmail.com:587
INFO 2025-11-26 14:42:00,304 cli Starting server at tcp:port=8001:interface=0.0.0.0
INFO 2025-11-26 14:42:00,304 server HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2025-11-26 14:42:00,304 server Configuring endpoint tcp:port=8001:interface=0.0.0.0
127.0.0.1:51915 - - [26/Nov/2025:15:02:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:03:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:03:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:03:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:03:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:03:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:03:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:03:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:03:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:04:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:04:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:04:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:04:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:04:17] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:04:17] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:04:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:04:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:05:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:05:01] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:05:01] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:05:01] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:05:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:05:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:05:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:05:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:06:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:06:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:06:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:06:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:06:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:06:17] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:06:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:06:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:07:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:07:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:07:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:07:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:07:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:07:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:07:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:07:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:08:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:08:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:08:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:08:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:08:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:08:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:08:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:08:47] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:09:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:09:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:09:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:09:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:09:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:09:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:09:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:09:47] "GET /api/chats/list/" 200 1691
